idh_ch,region_c,factor_ch,inc_total_ch,inc_proxy_ch,inc_proxy_ch_pc,inc_total_norm_ch_pc,shock,inc_after_shock,poor_before,poor_after,poor_new,afectados,P1_elegible,P2_elegible,P3_elegible,P4_elegible,P5_elegible,P6_elegible,P1_benef,P2_benef,P3_benef,P4_benef,P5_benef,P6_benef,P_benef,P_no_benef
7512,mun9,67," $1,021.3 "," $1,134.3 ", $378.1 , $696.1 , $57.3 , $638.8 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7513,mun9,67, $650.0 , $774.7 , $154.9 , $285.2 , $76.1 , $209.2 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7514,mun9,67, $-   , $146.9 , $73.5 , $135.3 , $63.2 , $72.0 ,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
7515,mun9,67, $278.0 , $385.1 , $192.6 , $354.5 , $106.6 , $247.9 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7516,mun9,67, $2.5 , $87.8 , $87.8 , $161.7 , $114.0 , $47.7 ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7517,mun9,66, $452.5 , $555.2 , $185.1 , $340.7 , $100.3 , $240.4 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7518,mun9,67, $399.9 , $480.3 , $480.3 , $884.3 , $129.8 , $754.4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7519,mun9,67, $917.4 , $940.9 , $188.2 , $346.5 , $78.3 , $268.2 ,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
7520,mun9,53, $50.0 , $202.1 , $202.1 , $372.1 , $86.5 , $285.5 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7521,mun9,53, $400.0 , $557.8 , $139.4 , $256.7 , $97.5 , $159.2 ,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7522,mun9,53, $30.0 , $181.3 , $90.6 , $166.9 , $100.3 , $66.6 ,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
7523,mun9,54," $1,126.7 "," $1,219.3 ", $152.4 , $280.6 , $125.6 , $155.0 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7524,mun9,54, $151.7 , $223.8 , $111.9 , $206.0 , $86.4 , $119.6 ,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7525,mun9,54, $325.0 , $413.4 , $206.7 , $380.5 , $69.7 , $310.9 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
7526,mun9,54, $200.0 , $263.1 , $87.7 , $161.5 , $79.1 , $82.4 ,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0
7527,mun9,54, $302.5 , $365.3 , $91.3 , $168.1 , $124.6 , $43.5 ,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
7528,mun9,53," $1,088.3 "," $1,153.1 ", $288.3 , $530.7 , $139.9 , $390.8 ,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7529,mun9,54, $373.3 , $512.5 , $170.8 , $314.5 , $83.2 , $231.4 ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
